  1.5564  -19.5000   1.057
  1.6272  -19.5000   1.057
  1.6979  -19.5000   1.057
  1.6979  -19.5000   1.057
  1.7592  -19.5000   1.057
  1.8205  -19.5000   1.057
  1.4857  -19.4000   1.057
  1.8817  -19.4000   1.057
  1.9430  -19.4000   1.056
  1.4149  -19.3000   1.056
  2.0043  -19.3000   1.056
  1.3442  -19.2000   1.056
  2.0655  -19.1000   1.055
  1.2734  -19.0000   1.055
  2.1268  -19.0000   1.055
  2.1881  -18.9000   1.054
  1.2027  -18.8000   1.054
  2.2493  -18.7000   1.053
  1.1320  -18.6000   1.053
  2.3106  -18.5000   1.052
  1.0612  -18.4000   1.052
  2.3719  -18.3000   1.051
  0.9905  -18.2000   1.050
  2.4332  -18.0000   1.050
  0.9197  -17.9000   1.049
  2.4944  -17.8000   1.048
  0.8490  -17.6000   1.047
  2.5557  -17.5000   1.047
  0.7782  -17.2000   1.045
  2.6170  -17.2000   1.045
  0.7075  -16.9000   1.044
  2.6782  -16.9000   1.044
  2.7395  -16.6000   1.042
  0.6367  -16.5000   1.042
  2.8008  -16.3000   1.041
  0.5660  -16.1000   1.040
  2.8620  -15.9000   1.040
  0.4952  -15.7000   1.038
  2.9233  -15.5000   1.038
  0.4245  -15.2000   1.036
  2.9846  -15.2000   1.038
  0.3537  -14.8000   1.034
  3.0458  -14.8000   1.039
  3.1071  -14.4000   1.043
  0.2830  -14.3000   1.032
  3.1684  -14.3000   1.048
  3.1684  -14.3000   1.048
  3.2391  -14.3000   1.048
  3.3099  -14.2000   1.047
  3.3806  -14.2000   1.046
  3.4514  -14.1000   1.046
  3.5221  -14.0000   1.044
  3.5929  -13.9000   1.043
  0.2122  -13.8000   1.031
  3.6636  -13.7000   1.041
  3.7344  -13.5000   1.039
  0.1415  -13.4000   1.030
  3.8051  -13.3000   1.037
  3.1684  -13.2000   0.992
  3.1684  -13.2000   0.992
  3.2391  -13.2000   0.992
  3.3099  -13.2000   0.992
  3.3806  -13.1000   0.992
  3.8758  -13.1000   1.034
  3.1071  -13.0000   0.997
  3.4514  -13.0000   0.993
  0.0707  -12.9000   1.030
  3.5221  -12.9000   0.994
  3.9466  -12.9000   1.032
  3.5929  -12.8000   0.995
  3.0458  -12.7000   1.000
